Plan,Data.Column1,Data.Column2,Data.Column3,Data.Column4,Data.Column5,Data.Column6,Data.Column7,Calories,Protein,Carbohydrates,Fats,Fiber
Basic-Non-Veg Plan-Lunch,Week 3,Wed,Furikake Avocado Toast with Jammy Eggs,,,Roasted sweet potato,,485,26,48,28,12
Basic-Non-Veg Plan-Lunch,Week 3,Thu,Ragi Jowar Chapathi,Chicken curry,,Mixed Vegetable Thoran,,491,34,58,19,12
Basic-Non-Veg Plan-Lunch,Week 3,Fri,Yuzu Corn Salad,Herbs Marinated Chicken Breast,,Roasted sweet potato,,590,38,54,31,10
Basic-Non-Veg Plan-Lunch,Week 3,Sat,Scrambled egg sando on multigrain bread,Steamed Edamame,,,Maple Togarashi Spiced Nuts,456,27,38,25,7
Basic-Non-Veg Plan-Lunch,Week 4,Mon,Ragi Jowar Chapathi,Chicken curry,,Mixed Vegetable Thoran,,491,34,58,19,12
Basic-Non-Veg Plan-Lunch,Week 4,Tue,Protein Chicken Collagen Millet Kanji,Omlet,,Mixed Vegetable Thoran,,466,42,36,20,7
Basic-Non-Veg Plan-Lunch,Week 4,Wed,Scrambled egg sando on multigrain bread,Steamed Edamame,,,Crunchy Nut mix,470,29,36,27,8
Basic-Non-Veg Plan-Lunch,Week 4,Thu,Furikake Avocado Toast with Jammy Eggs,Paneer grilled,,Roasted sweet potato,,855,49,56,58,13
Basic-Non-Veg Plan-Lunch,Week 4,Fri,Pulled Chicken Caesar Salad,,,Roasted sweet potato,,671,45,31,39,6
Basic-Non-Veg Plan-Lunch,Week 4,Sat,Mesclun Quinoa Salad,Soyu egg,,,Maple Togarashi Spiced Nuts,624,26,50,40,9
Basic-Non-Veg Plan-Dinner,Week 1,Mon,Ragi Jowar Chapathi,Chicken curry,,Mixed Vegetable Thoran,,491,34,58,19,12
Basic-Non-Veg Plan-Dinner,Week 1,Tue,Yuzu Corn Salad,Herbs Marinated Chicken Breast,,Roasted sweet potato,,590,38,54,31,10
Basic-Non-Veg Plan-Dinner,Week 1,Wed,Grilled Chicken and Avocado Sandwich,,,Steamed Edamame,Maple Togarashi Spiced Nuts,554,39,40,31,10
Basic-Non-Veg Plan-Dinner,Week 1,Thu,Scrambled egg sando on multigrain bread,Herbs Marinated Chicken Breast,Shirazi salad,,,572,53,36,30,7
Basic-Non-Veg Plan-Dinner,Week 1,Fri,Grilled Chicken and Avocado Sandwich,,,Roasted sweet potato,Crunchy Nut mix,619,39,50,34,12
Basic-Non-Veg Plan-Dinner,Week 1,Sat,Pulled Chicken Caesar Salad,,,Steamed Edamame,Crunchy Nut mix,703,50,22,45,7
Basic-Non-Veg Plan-Dinner,Week 2,Mon,Furikake Avocado Toast with Jammy Eggs,Paneer grilled,,Roasted sweet potato,,855,49,56,58,13
Basic-Non-Veg Plan-Dinner,Week 2,Tue,Scrambled egg sando on multigrain bread,Herbs Marinated Chicken Breast,Shirazi salad,,,572,53,36,30,7
Basic-Non-Veg Plan-Dinner,Week 2,Wed,Grilled Chicken and Avocado Sandwich,,,Roasted sweet potato,Crunchy Nut mix,619,39,50,34,12
Basic-Non-Veg Plan-Dinner,Week 2,Thu,Ragi Jowar Chapathi,Chicken curry,,Mixed Vegetable Thoran,,491,34,58,19,12
Basic-Non-Veg Plan-Dinner,Week 2,Fri,Pulled Chicken Caesar Salad,,,Steamed Edamame,Maple Togarashi Spiced Nuts,689,49,24,43,6
Basic-Non-Veg Plan-Dinner,Week 2,Sat,Ragi Chicken Collagen Broth,Soyu egg,Shirazi salad,,,289,35,11,20,2
Basic-Non-Veg Plan-Dinner,Week 3,Mon,Pulled Chicken Caesar Salad,,,Steamed Edamame,Crunchy Nut mix,703,50,22,45,7
Basic-Non-Veg Plan-Dinner,Week 3,Tue,Grilled Chicken and Avocado Sandwich,,,Roasted sweet potato,Crunchy Nut mix,619,39,50,34,12
Basic-Non-Veg Plan-Dinner,Week 3,Wed,Yuzu Corn Salad,Herbs Marinated Chicken Breast,,Roasted sweet potato,,590,38,54,31,10
Basic-Non-Veg Plan-Dinner,Week 3,Thu,Vegetable millet broth,Herbs Marinated Chicken Breast,,,Crunchy Nut mix,448,39,31,26,9
Basic-Non-Veg Plan-Dinner,Week 3,Fri,Protein Chicken Collagen Millet Kanji,,Coconut Sambol,Mixed Vegetable Thoran,,442,34,37,18,9
Basic-Non-Veg Plan-Dinner,Week 3,Sat,Mesclun Quinoa Salad,Soyu egg,,Roasted sweet potato,,640,26,59,37,10
Basic-Non-Veg Plan-Dinner,Week 4,Mon,Furikake Avocado Toast with Jammy Eggs,Steamed Edamame,,Roasted sweet potato,,519,29,50,29,14
Basic-Non-Veg Plan-Dinner,Week 4,Tue,Mesclun Quinoa Salad,Herbs Marinated Chicken Breast,,Roasted sweet potato,,710,44,61,39,12
Basic-Non-Veg Plan-Dinner,Week 4,Wed,Ragi Chicken Collagen Broth,Soyu egg,Shirazi salad,,,289,35,11,20,2
Basic-Non-Veg Plan-Dinner,Week 4,Thu,Pulled Chicken Caesar Salad,,,Steamed Edamame,Crunchy Nut mix,703,50,22,45,7
Basic-Non-Veg Plan-Dinner,Week 4,Fri,Protein Chicken Collagen Millet Kanji,,Coconut Sambol,Mixed Vegetable Thoran,,442,34,37,18,9
Basic-Non-Veg Plan-Dinner,Week 4,Sat,Ragi Jowar Chapathi,Chicken curry,,Mixed Vegetable Thoran,,491,34,58,19,12
Weightloss-Veg Plan-Lunch,Week 1,Mon,Mesclun Quinoa Salad,Paneer grilled,,Steamed edamame,,824,39,55,56,10
Weightloss-Veg Plan-Lunch,Week 1,Tue,Yuzu Corn Salad,Paneer grilled,,Steamed edamame,,704,33,47,48,8
Weightloss-Veg Plan-Lunch,Week 1,Wed,Mesclun Quinoa Salad,Paneer grilled,,Steamed edamame,,824,39,55,56,10
Weightloss-Veg Plan-Lunch,Week 1,Thu,Ragi Jowar Chapathi,Paneer Butter Masala,,Mixed Vegetable Thoran,,610,23,60,33,12
Weightloss-Veg Plan-Lunch,Week 1,Fri,Furikake Avocado Toast,Paneer grilled,,,Shirazi salad,996,42,86,60,21
Weightloss-Veg Plan-Lunch,Week 1,Sat,Ragi Jowar Chapathi,Paneer Butter Masala,,Mixed Vegetable Thoran,,610,23,60,33,12
Weightloss-Veg Plan-Lunch,Week 2,Mon,Ragi Jowar Chapathi,Paneer Butter Masala,,Mixed Vegetable Thoran,,610,23,60,33,12
Weightloss-Veg Plan-Lunch,Week 2,Tue,Furikake Avocado Toast,Paneer grilled,,,Cut Fruits,1004,42,89,60,21
Weightloss-Veg Plan-Lunch,Week 2,Wed,Ragi Jowar Chapathi,Paneer Butter Masala,,Mixed Vegetable Thoran,,610,23,60,33,12
Weightloss-Veg Plan-Lunch,Week 2,Thu,Yuzu Corn Salad,Paneer grilled,,Steamed edamame,,704,33,47,48,8
Weightloss-Veg Plan-Lunch,Week 2,Fri,Ragi Jowar Chapathi,Paneer Butter Masala,,Mixed Vegetable Thoran,,610,23,60,33,12
Weightloss-Veg Plan-Lunch,Week 2,Sat,Mesclun Quinoa Salad,Paneer grilled,,Steamed edamame,,824,39,55,56,10
Weightloss-Veg Plan-Lunch,Week 3,Mon,Furikake Avocado Toast,Paneer grilled,,,Shirazi salad,996,42,86,60,21
Weightloss-Veg Plan-Lunch,Week 3,Tue,Ragi Jowar Chapathi,Paneer Butter Masala,,Mixed Vegetable Thoran,,610,23,60,33,12
